,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
5110,18,MF,Rafael Paz,1965-08-02,3,Sevilla,24.0,Spain,Spain,1990
5111,19,FW,Julio Salinas,1962-09-11,26,Barcelona,27.0,Spain,Spain,1990
5112,20,FW,Manolo,1965-01-17,13,Atlético Madrid,25.0,Spain,Spain,1990
5113,21,MF,Míchel,1963-03-23,44,Real Madrid,27.0,Spain,Spain,1990
5114,22,GK,José Manuel Ochotorena,1961-01-16,1,Valencia,29.0,Spain,Spain,1990
5115,1,GK,Fernando Álvez,1959-09-04,,Peñarol,30.0,Uruguay,Uruguay,1990
5116,2,DF,Nelson Gutiérrez,1962-04-13,,Verona,28.0,Uruguay,Italy,1990
5117,3,DF,Hugo de León,1958-02-27,,River Plate,32.0,Uruguay,Argentina,1990
5118,4,DF,José Oscar Herrera,1965-06-17,,Figueres,24.0,Uruguay,Spain,1990
5119,5,MF,José Perdomo,1965-01-05,,Genoa,25.0,Uruguay,Italy,1990
5120,6,DF,Alfonso Domínguez,1965-09-24,,Peñarol,24.0,Uruguay,Uruguay,1990
5121,7,FW,Antonio Alzamendi,1956-06-07,,Logroñés,34.0,Uruguay,Spain,1990
5122,8,MF,Santiago Ostolaza,1962-07-10,,Cruz Azul,27.0,Uruguay,Mexico,1990
5123,9,MF,Enzo Francescoli (c),1961-11-12,,Marseille,28.0,Uruguay,France,1990
5124,10,MF,Rubén Paz,1959-08-08,,Genoa,30.0,Uruguay,Italy,1990
5125,11,FW,Rubén Sosa,1966-04-25,,Lazio,24.0,Uruguay,Italy,1990
5126,12,GK,Eduardo Pereira,1954-03-21,,Independiente,36.0,Uruguay,Argentina,1990
5127,13,DF,Daniel Revelez,1959-09-30,,Nacional,30.0,Uruguay,Uruguay,1990
5128,14,DF,José Pintos Saldanha,1964-03-25,,Nacional,26.0,Uruguay,Uruguay,1990
5129,15,MF,Gabriel Correa,1968-01-13,,Peñarol,22.0,Uruguay,Uruguay,1990
5130,16,MF,Pablo Bengoechea,1965-06-27,,Sevilla,24.0,Uruguay,Spain,1990
5131,17,FW,Sergio Martínez,1969-02-15,,Defensor Sporting,21.0,Uruguay,Uruguay,1990
5132,18,FW,Carlos Aguilera,1964-09-21,,Genoa,25.0,Uruguay,Italy,1990
5133,19,FW,Daniel Fonseca,1969-09-13,,Nacional,20.0,Uruguay,Uruguay,1990
5134,20,MF,Rubén Pereira,1968-01-28,,Danubio,22.0,Uruguay,Uruguay,1990
5135,21,MF,William Castro,1962-05-22,,Nacional,28.0,Uruguay,Uruguay,1990
5136,22,GK,Javier Zeoli,1962-05-02,,Danubio,28.0,Uruguay,Uruguay,1990
5137,1,GK,Ahmed Shobair,1960-09-28,,Al-Ahly,29.0,Egypt,Egypt,1990
5138,2,DF,Ibrahim Hassan,1966-08-10,,Al-Ahly,23.0,Egypt,Egypt,1990
5139,3,DF,Rabie Yassin,1960-09-07,,Al-Ahly,29.0,Egypt,Egypt,1990
5140,4,DF,Hany Ramzy,1969-03-10,,Al-Ahly,21.0,Egypt,Egypt,1990
5141,5,DF,Hesham Yakan,1962-08-10,,Zamalek,27.0,Egypt,Egypt,1990
5142,6,DF,Ashraf Kasem,1966-07-25,,Zamalek,23.0,Egypt,Egypt,1990
5143,7,MF,Ismail Youssef,1964-06-28,,Zamalek,25.0,Egypt,Egypt,1990
5144,8,MF,Magdi Abdelghani,1959-07-27,,Beira-Mar,30.0,Egypt,Portugal,1990
5145,9,FW,Hossam Hassan,1966-08-10,,Al-Ahly,23.0,Egypt,Egypt,1990
5146,10,MF,Gamal Abdelhamid (c),1957-11-24,,Zamalek,32.0,Egypt,Egypt,1990
5147,11,MF,Tarek Soliman,1962-01-24,,Al-Masry,28.0,Egypt,Egypt,1990
5148,12,MF,Taher Abouzaid,1962-04-10,,Al-Ahly,28.0,Egypt,Egypt,1990
5149,13,DF,Ahmed Ramzy,1965-10-25,,Zamalek,24.0,Egypt,Egypt,1990
5150,14,MF,Alaa Maihoub,1963-01-19,,Al-Ahly,27.0,Egypt,Egypt,1990
5151,15,MF,Saber Eid,1959-05-01,,Ghazl El-Mehalla,31.0,Egypt,Egypt,1990
5152,16,MF,Magdy Tolba,1964-02-24,,PAOK,26.0,Egypt,Greece,1990
5153,17,FW,Ayman Shawky,1962-12-09,,Al-Ahly,27.0,Egypt,Egypt,1990
5154,18,MF,Osama Oraby,1962-01-22,,Al-Ahly,28.0,Egypt,Egypt,1990
5155,19,FW,Adel Abdelrahman,1967-12-11,,Al-Ahly,22.0,Egypt,Egypt,1990
5156,20,FW,Ahmed El-Kass,1965-07-08,,El-Olympi Alexandria,24.0,Egypt,Egypt,1990
5157,21,GK,Ayman Taher,1966-01-07,,Zamalek,24.0,Egypt,Egypt,1990
5158,22,GK,Thabet El-Batal,1953-09-16,,Al-Ahly,36.0,Egypt,Egypt,1990
5159,1,GK,Peter Shilton,1949-09-18,118,Derby County,40.0,England,England,1990
5160,2,DF,Gary Stevens,1963-03-27,39,Rangers,27.0,England,Scotland,1990
5161,3,DF,Stuart Pearce,1962-04-24,24,Nottingham Forest,28.0,England,England,1990
5162,4,MF,Neil Webb,1962-07-30,24,Manchester United,27.0,England,England,1990
5163,5,DF,Des Walker,1965-11-26,18,Nottingham Forest,24.0,England,England,1990
5164,6,DF,Terry Butcher,1958-12-28,72,Rangers,31.0,England,Scotland,1990
5165,7,MF,Bryan Robson (c),1957-01-11,85,Manchester United,33.0,England,England,1990
5166,8,MF,Chris Waddle,1960-12-14,52,Marseille,29.0,England,France,1990
5167,9,FW,Peter Beardsley,1961-01-18,40,Liverpool,29.0,England,England,1990
5168,10,FW,Gary Lineker,1960-11-30,51,Tottenham Hotspur,29.0,England,England,1990
5169,11,MF,John Barnes,1963-11-07,53,Liverpool,26.0,England,England,1990
5170,12,DF,Paul Parker,1964-04-04,5,Queens Park Rangers,26.0,England,England,1990
5171,13,GK,Chris Woods,1959-11-14,16,Rangers,30.0,England,Scotland,1990
5172,14,DF,Mark Wright,1963-08-01,24,Derby County,26.0,England,England,1990
5173,15,DF,Tony Dorigo,1965-12-31,3,Chelsea,24.0,England,England,1990
5174,16,MF,Steve McMahon,1961-08-20,12,Liverpool,28.0,England,England,1990
5175,17,MF,David Platt,1966-06-10,5,Aston Villa,23.0,England,England,1990
5176,18,MF,Steve Hodge,1962-10-25,22,Nottingham Forest,27.0,England,England,1990
5177,19,MF,Paul Gascoigne,1967-05-27,11,Tottenham Hotspur,23.0,England,England,1990
5178,20,MF,Trevor Steven,1963-09-21,26,Rangers,26.0,England,Scotland,1990
5179,21,FW,Steve Bull,1965-03-28,7,Wolverhampton Wanderers,25.0,England,England,1990
5180,*22,GK,David Seaman,1963-09-19,2,Queens Park Rangers,26.0,England,England,1990
5181,*22,GK,Dave Beasant,1959-03-20,2,Chelsea,31.0,England,England,1990
5182,1,GK,Packie Bonner,1960-05-24,38,Celtic,30.0,Republic of Ireland,Scotland,1990
5183,2,DF,Chris Morris,1963-12-24,21,Celtic,26.0,Republic of Ireland,Scotland,1990
5184,3,DF,Steve Staunton,1969-01-19,13,Liverpool,21.0,Republic of Ireland,England,1990
5185,4,DF,Mick McCarthy (c),1959-02-07,42,Millwall,31.0,Republic of Ireland,England,1990
5186,5,DF,Kevin Moran,1956-04-29,55,Blackburn Rovers,34.0,Republic of Ireland,England,1990
5187,6,MF,Ronnie Whelan,1961-09-25,38,Liverpool,28.0,Republic of Ireland,England,1990
5188,7,DF,Paul McGrath,1959-12-04,36,Aston Villa,30.0,Republic of Ireland,England,1990
5189,8,MF,Ray Houghton,1962-01-09,29,Liverpool,28.0,Republic of Ireland,England,1990
5190,9,FW,John Aldridge,1958-09-18,30,Real Sociedad,31.0,Republic of Ireland,Spain,1990
5191,10,FW,Tony Cascarino,1962-09-01,21,Aston Villa,27.0,Republic of Ireland,England,1990
5192,11,MF,Kevin Sheedy,1959-10-21,28,Everton,30.0,Republic of Ireland,England,1990
5193,12,DF,David O'Leary,1958-05-02,51,Arsenal,32.0,Republic of Ireland,England,1990
5194,13,MF,Andy Townsend,1963-07-23,12,Norwich City,26.0,Republic of Ireland,England,1990
5195,14,DF,Chris Hughton,1959-12-11,50,Tottenham Hotspur,30.0,Republic of Ireland,England,1990
5196,15,FW,Bernie Slaven,1960-11-13,4,Middlesbrough,29.0,Republic of Ireland,England,1990
5197,16,MF,John Sheridan,1964-10-01,8,Sheffield Wednesday,25.0,Republic of Ireland,England,1990
5198,17,FW,Niall Quinn,1966-10-06,15,Manchester City,23.0,Republic of Ireland,England,1990
5199,18,FW,Frank Stapleton,1956-07-10,71,Blackburn Rovers,33.0,Republic of Ireland,England,1990
5200,19,FW,David Kelly,1965-11-25,6,Leicester City,24.0,Republic of Ireland,England,1990
5201,20,FW,John Byrne,1961-02-01,19,Le Havre,29.0,Republic of Ireland,France,1990
5202,21,MF,Alan McLoughlin,1967-04-20,1,Swindon Town,23.0,Republic of Ireland,England,1990
5203,22,GK,Gerry Peyton,1956-05-20,28,Bournemouth,34.0,Republic of Ireland,England,1990
5204,1,GK,Hans van Breukelen,1956-10-04,52,PSV,33.0,Netherlands,Netherlands,1990
5205,2,DF,Berry van Aerle,1962-12-08,22,PSV,27.0,Netherlands,Netherlands,1990
5206,3,MF,Frank Rijkaard,1962-09-30,42,Milan,27.0,Netherlands,Italy,1990
5207,4,DF,Ronald Koeman,1963-03-21,43,Barcelona,27.0,Netherlands,Spain,1990
5208,5,DF,Adri van Tiggelen,1957-06-16,40,Anderlecht,32.0,Netherlands,Belgium,1990
5209,6,MF,Jan Wouters,1960-07-17,30,Ajax,29.0,Netherlands,Netherlands,1990
5210,7,MF,Erwin Koeman,1961-09-20,23,Mechelen,28.0,Netherlands,Belgium,1990
5211,8,MF,Gerald Vanenburg,1964-03-05,36,PSV,26.0,Netherlands,Netherlands,1990
5212,9,FW,Marco van Basten,1964-10-31,35,Milan,25.0,Netherlands,Italy,1990
5213,10,MF,Ruud Gullit (c),1962-09-01,44,Milan,27.0,Netherlands,Italy,1990
5214,11,MF,Richard Witschge,1969-09-20,4,Ajax,20.0,Netherlands,Netherlands,1990
5215,12,FW,Wim Kieft,1962-11-12,27,PSV,27.0,Netherlands,Netherlands,1990
5216,13,DF,Graeme Rutjes,1960-03-26,7,Mechelen,30.0,Netherlands,Belgium,1990
5217,14,FW,John van 't Schip,1963-11-30,22,Ajax,26.0,Netherlands,Netherlands,1990
5218,15,FW,Bryan Roy,1970-02-12,2,Ajax,20.0,Netherlands,Netherlands,1990
5219,16,GK,Joop Hiele,1958-12-25,6,Feyenoord,31.0,Netherlands,Netherlands,1990
5220,17,FW,Hans Gillhaus,1963-11-05,2,Aberdeen,26.0,Netherlands,Scotland,1990
5221,18,DF,Henk Fräser,1966-07-07,2,Roda JC,23.0,Netherlands,Netherlands,1990
5222,19,FW,John van Loen,1965-02-04,6,Roda JC,25.0,Netherlands,Netherlands,1990
5223,20,MF,Aron Winter,1967-03-01,11,Ajax,23.0,Netherlands,Netherlands,1990
5224,21,DF,Danny Blind,1961-08-01,5,Ajax,28.0,Netherlands,Netherlands,1990
5225,22,GK,Stanley Menzo,1963-10-15,1,Ajax,26.0,Netherlands,Netherlands,1990
5226,1,GK,Óscar Córdoba,1970-02-03,,América de Cali,24.0,Colombia,Colombia,1994
5227,2,DF,Andrés Escobar,1967-03-13,,Atlético Nacional,27.0,Colombia,Colombia,1994
5228,3,DF,Alexis Mendoza,1961-11-08,,Atlético Junior,32.0,Colombia,Colombia,1994
5229,4,DF,Luis Fernando Herrera,1962-06-12,,Atlético Nacional,32.0,Colombia,Colombia,1994
5230,5,MF,Hernán Gaviria,1969-11-27,,Atlético Nacional,24.0,Colombia,Colombia,1994
5231,6,MF,Gabriel Gómez,1959-12-08,,Atlético Nacional,34.0,Colombia,Colombia,1994
5232,7,FW,Antony de Ávila,1962-12-21,,América de Cali,31.0,Colombia,Colombia,1994
5233,8,MF,John Harold Lozano,1972-03-30,,América de Cali,22.0,Colombia,Colombia,1994
5234,9,FW,Iván Valenciano,1972-03-18,,Atlético Junior,22.0,Colombia,Colombia,1994
5235,10,MF,Carlos Valderrama (c),1961-09-02,,Atlético Junior,32.0,Colombia,Colombia,1994
5236,11,FW,Adolfo Valencia,1968-02-06,,Bayern Munich,26.0,Colombia,Germany,1994
5237,12,GK,Farid Mondragón,1971-06-21,,Argentinos Juniors,22.0,Colombia,Argentina,1994
5238,13,DF,Néstor Ortiz,1968-09-20,,Once Caldas,25.0,Colombia,Colombia,1994
5239,14,MF,Leonel Álvarez,1965-07-29,,América de Cali,28.0,Colombia,Colombia,1994
5240,15,DF,Luis Carlos Perea,1963-12-29,,Atlético Junior,30.0,Colombia,Colombia,1994
5241,16,FW,Víctor Aristizábal,1971-12-09,,Atlético Nacional,22.0,Colombia,Colombia,1994
5242,17,MF,Mauricio Serna,1968-01-22,,Atlético Nacional,26.0,Colombia,Colombia,1994
5243,18,DF,Óscar Cortés,1968-10-19,,Millonarios,25.0,Colombia,Colombia,1994
5244,19,MF,Freddy Rincón,1966-08-14,,Palmeiras,27.0,Colombia,Brazil,1994
5245,20,DF,Wilson Pérez,1967-08-06,,América de Cali,26.0,Colombia,Colombia,1994
5246,21,FW,Faustino Asprilla,1969-11-10,,Parma,24.0,Colombia,Italy,1994
5247,22,GK,José María Pazo,1964-04-04,,Atlético Junior,30.0,Colombia,Colombia,1994
5248,1,GK,Florin Prunea,1968-08-08,,Dinamo Bucharest,25.0,Romania,Romania,1994
5249,2,DF,Dan Petrescu,1967-12-22,,Genoa,26.0,Romania,Italy,1994
5250,3,DF,Daniel Prodan,1972-03-23,,Steaua Bucharest,22.0,Romania,Romania,1994
5251,4,DF,Miodrag Belodedici,1964-05-20,,Valencia,30.0,Romania,Spain,1994
5252,5,MF,Ioan Lupescu,1968-12-09,,Bayer Leverkusen,25.0,Romania,Germany,1994
5253,6,DF,Gheorghe Popescu,1967-10-09,,PSV,26.0,Romania,Netherlands,1994
5254,7,MF,Dorinel Munteanu,1968-06-25,,Cercle Brugge,25.0,Romania,Belgium,1994
5255,8,MF,Iulian Chiriţă,1967-02-02,,Rapid Bucureşti,27.0,Romania,Romania,1994
5256,9,FW,Florin Răducioiu,1970-03-17,,Milan,24.0,Romania,Italy,1994
5257,10,MF,Gheorghe Hagi (c),1965-02-05,,Brescia,29.0,Romania,Italy,1994
5258,11,FW,Ilie Dumitrescu,1969-01-06,,Steaua Bucureşti,25.0,Romania,Romania,1994
5259,12,GK,Bogdan Stelea,1967-12-05,,Rapid Bucureşti,26.0,Romania,Romania,1994
5260,13,DF,Tibor Selymes,1970-05-14,,Cercle Brugge,24.0,Romania,Belgium,1994
5261,14,DF,Gheorghe Mihali,1965-12-09,,Dinamo Bucureşti,28.0,Romania,Romania,1994
5262,15,MF,Basarab Panduru,1970-07-11,,Steaua Bucureşti,23.0,Romania,Romania,1994
5263,16,FW,Ion Vlădoiu,1968-11-05,,Rapid Bucureşti,25.0,Romania,Romania,1994
5264,17,FW,Viorel Moldovan,1972-07-08,,Dinamo Bucureşti,21.0,Romania,Romania,1994
5265,18,MF,Constantin Gâlcă,1972-03-08,,Steaua Bucureşti,22.0,Romania,Romania,1994
5266,19,DF,Corneliu Papură,1973-09-05,,Universitatea Craiova,20.0,Romania,Romania,1994
5267,20,MF,Ovidiu Stîngă,1972-12-05,,Universitatea Craiova,21.0,Romania,Romania,1994
5268,21,FW,Marian Ivan,1969-01-06,,Braşov,25.0,Romania,Romania,1994
5269,22,GK,Ştefan Preda,1970-06-18,,Petrolul Ploieşti,23.0,Romania,Romania,1994
5270,1,GK,Marco Pascolo,1966-05-09,18,Servette,28.0,Switzerland,Switzerland,1994
5271,2,DF,Marc Hottiger,1967-11-07,41,Sion,26.0,Switzerland,Switzerland,1994
5272,3,DF,Yvan Quentin,1970-05-02,14,Sion,24.0,Switzerland,Switzerland,1994
5273,4,MF,Dominique Herr,1965-10-25,39,Sion,28.0,Switzerland,Switzerland,1994
5274,5,DF,Alain Geiger (c),1960-11-05,94,Sion,33.0,Switzerland,Switzerland,1994
5275,6,FW,Georges Bregy,1958-01-17,50,Young Boys,36.0,Switzerland,Switzerland,1994
5276,7,MF,Alain Sutter,1968-01-22,46,1. FC Nürnberg,26.0,Switzerland,Germany,1994
5277,8,DF,Christophe Ohrel,1968-04-07,28,Servette,26.0,Switzerland,Switzerland,1994
5278,9,FW,Adrian Knup,1968-07-02,34,VfB Stuttgart,25.0,Switzerland,Germany,1994
5279,10,MF,Ciriaco Sforza,1970-03-02,23,1. FC Kaiserslautern,24.0,Switzerland,Germany,1994
5280,11,FW,Stéphane Chapuisat,1969-06-28,36,Borussia Dortmund,24.0,Switzerland,Germany,1994
5281,12,GK,Stephan Lehmann,1963-08-15,6,Sion,30.0,Switzerland,Switzerland,1994
5282,13,DF,André Egli,1958-05-08,79,Servette,36.0,Switzerland,Switzerland,1994
5283,14,FW,Nestor Subiat,1966-04-23,7,Lugano,28.0,Switzerland,Switzerland,1994
5284,15,FW,Marco Grassi,1968-08-08,9,Servette,25.0,Switzerland,Switzerland,1994
5285,16,MF,Thomas Bickel,1963-10-06,41,Grasshopper,30.0,Switzerland,Switzerland,1994
5286,17,MF,Sébastien Fournier,1971-06-27,4,Sion,22.0,Switzerland,Switzerland,1994
5287,18,DF,Martin Rueda,1963-01-09,5,Lucerne,31.0,Switzerland,Switzerland,1994
5288,19,DF,Jürg Studer,1966-09-08,5,Zürich,27.0,Switzerland,Switzerland,1994
5289,20,MF,Patrick Sylvestre,1968-09-01,9,Lausanne,25.0,Switzerland,Switzerland,1994
5290,21,MF,Thomas Wyss,1966-08-29,5,Aarau,27.0,Switzerland,Switzerland,1994
5291,22,GK,Martin Brunner,1963-04-23,33,Grasshopper,31.0,Switzerland,Switzerland,1994
5292,1,GK,Tony Meola (c),1969-02-21,,USSF,25.0,United States,United States,1994
5293,2,DF,Mike Lapper,1970-09-28,,USSF,23.0,United States,United States,1994
5294,3,DF,Mike Burns,1970-09-14,,USSF,23.0,United States,United States,1994
5295,4,DF,Cle Kooiman,1963-07-04,,Cruz Azul,30.0,United States,Mexico,1994
5296,5,DF,Thomas Dooley,1961-12-05,,USSF,32.0,United States,United States,1994
5297,6,MF,John Harkes,1967-03-08,,Derby County,27.0,United States,England,1994
5298,7,MF,Hugo Perez,1963-11-08,,USSF,30.0,United States,United States,1994
5299,8,FW,Earnie Stewart,1969-03-28,,Willem II,25.0,United States,Netherlands,1994
5300,9,MF,Tab Ramos,1966-09-21,,Real Betis,27.0,United States,Spain,1994
5301,10,FW,Roy Wegerle,1964-03-19,,Coventry City,30.0,United States,England,1994
5302,11,FW,Eric Wynalda,1969-06-09,,1. FC Saarbrücken,25.0,United States,Germany,1994
5303,12,GK,Juergen Sommer,1969-02-27,,Luton Town,25.0,United States,England,1994
5304,13,MF,Cobi Jones,1970-06-16,,USSF,24.0,United States,United States,1994
5305,14,FW,Frank Klopas,1966-09-01,,USSF,27.0,United States,United States,1994
5306,15,FW,Joe-Max Moore,1971-02-23,,USSF,23.0,United States,United States,1994
5307,16,MF,Mike Sorber,1971-05-14,,USSF,23.0,United States,United States,1994
5308,17,DF,Marcelo Balboa,1967-08-08,,USSF,26.0,United States,United States,1994
5309,18,GK,Brad Friedel,1971-05-18,,USSF,23.0,United States,United States,1994
5310,19,MF,Claudio Reyna,1973-07-20,,USSF,20.0,United States,United States,1994
5311,20,DF,Paul Caligiuri,1964-03-09,,USSF,30.0,United States,United States,1994
5312,21,DF,Fernando Clavijo,1956-01-23,,USSF,38.0,United States,United States,1994
5313,22,DF,Alexi Lalas,1970-06-01,,USSF,24.0,United States,United States,1994
5314,1,GK,Taffarel,1966-05-08,,Reggiana,28.0,Brazil,Italy,1994
5315,2,DF,Jorginho,1964-08-17,,Bayern Munich,29.0,Brazil,Germany,1994
5316,3,DF,Ricardo Rocha,1962-09-11,,Vasco da Gama,31.0,Brazil,Brazil,1994
5317,4,DF,Ronaldão,1965-06-19,,Shimizu S-Pulse,28.0,Brazil,Japan,1994
5318,5,MF,Mauro Silva,1968-01-12,,Deportivo La Coruña,26.0,Brazil,Spain,1994
5319,6,DF,Branco,1964-04-04,,Fluminense,30.0,Brazil,Brazil,1994
5320,7,FW,Bebeto,1964-02-16,,Deportivo La Coruña,30.0,Brazil,Spain,1994
5321,8,MF,Dunga,1963-10-31,,VfB Stuttgart,30.0,Brazil,Germany,1994
5322,9,MF,Zinho,1967-06-17,,Palmeiras,27.0,Brazil,Brazil,1994
5323,10,MF,Raí,1965-05-15,,Paris Saint-Germain,29.0,Brazil,France,1994
5324,11,FW,Romário,1966-01-29,,Barcelona,28.0,Brazil,Spain,1994
5325,12,GK,Zetti,1965-01-10,,São Paulo,29.0,Brazil,Brazil,1994
5326,13,DF,Aldair,1965-11-30,,Roma,28.0,Brazil,Italy,1994
5327,14,DF,Cafu,1970-06-07,,São Paulo,24.0,Brazil,Brazil,1994
5328,15,DF,Márcio Santos,1969-09-15,,Bordeaux,24.0,Brazil,France,1994
5329,16,MF,Leonardo,1969-09-05,,São Paulo,24.0,Brazil,Brazil,1994
5330,17,MF,Mazinho,1966-04-08,,Palmeiras,28.0,Brazil,Brazil,1994
5331,18,FW,Paulo Sérgio,1969-06-02,,Bayer Leverkusen,25.0,Brazil,Germany,1994
5332,19,FW,Müller,1966-01-31,,São Paulo,28.0,Brazil,Brazil,1994
5333,20,FW,Ronaldo,1976-09-22,,Cruzeiro,17.0,Brazil,Brazil,1994
5334,21,FW,Viola,1969-01-01,,Corinthians,25.0,Brazil,Brazil,1994
5335,22,GK,Gilmar,1959-01-13,,Flamengo,35.0,Brazil,Brazil,1994
5336,1,GK,Joseph-Antoine Bell,1954-10-08,,Saint-Étienne,39.0,Cameroon,France,1994
5337,2,DF,André Kana-Biyik,1965-09-01,,Le Havre,28.0,Cameroon,France,1994
5338,3,DF,Rigobert Song,1976-07-01,,Tonnerre Yaounde,17.0,Cameroon,Cameroon,1994
5339,4,DF,Samuel Ekeme,1966-07-12,,Canon Yaounde,27.0,Cameroon,Cameroon,1994
5340,5,DF,Victor N'Dip,1967-08-18,,Olympic Mvolyé,26.0,Cameroon,Cameroon,1994
5341,6,MF,Thomas Libiih,1967-11-17,,Ohud,26.0,Cameroon,Saudi Arabia,1994
5342,7,FW,François Omam-Biyik,1966-05-21,,Lens,28.0,Cameroon,France,1994
5343,8,MF,Emile M'Bouh,1966-05-30,,Nadi Qatar,28.0,Cameroon,Qatar,1994
5344,9,FW,Roger Milla,1952-05-20,,Tonnerre Yaounde,42.0,Cameroon,Cameroon,1994
5345,10,FW,Louis-Paul M'Fédé,1961-02-26,,Canon Yaounde,33.0,Cameroon,Cameroon,1994
5346,11,MF,Emmanuel Maboang,1968-11-27,,Rio Ave,25.0,Cameroon,Portugal,1994
5347,12,MF,Paul Loga,1969-08-14,,Prevoyance Yaounde,24.0,Cameroon,Cameroon,1994
5348,13,DF,Raymond Kalla,1975-04-22,,Canon Yaounde,19.0,Cameroon,Cameroon,1994
5349,14,DF,Stephen Tataw (c),1963-03-31,,Olympic Mvolyé,31.0,Cameroon,Cameroon,1994
5350,15,DF,Hans Agbo,1967-09-26,,Olympic Mvolyé,26.0,Cameroon,Cameroon,1994
5351,16,FW,Alphonse Tchami,1971-09-14,,Odense,22.0,Cameroon,Denmark,1994
5352,17,MF,Marc-Vivien Foé,1975-05-01,,Canon Yaounde,19.0,Cameroon,Cameroon,1994
5353,18,MF,Jean-Pierre Fiala,1969-04-22,,Canon Yaounde,25.0,Cameroon,Cameroon,1994
5354,19,FW,David Embé,1973-11-13,,Belenenses,20.0,Cameroon,Portugal,1994
5355,20,FW,Georges Mouyémé,1971-04-15,,Troyes,23.0,Cameroon,France,1994
5356,21,GK,Thomas N'Kono,1956-07-20,,CE L'Hospitalet,37.0,Cameroon,Spain,1994
5357,22,GK,Jacques Songo'o,1964-03-17,,Metz,30.0,Cameroon,France,1994
5358,1,GK,Stanislav Cherchesov,1963-09-02,19,Dynamo Dresden,30.0,Russia,Germany,1994
5359,2,DF,Dmitri Kuznetsov,1965-08-28,26,Espanyol,28.0,Russia,Spain,1994
5360,3,DF,Sergei Gorlukovich,1961-11-18,32,Bayer Uerdingen,32.0,Russia,Germany,1994
5361,4,DF,Dmitri Galiamin,1963-01-08,18,Espanyol,31.0,Russia,Spain,1994
5362,5,DF,Yuri Nikiforov,1970-09-16,8,Spartak Moscow,23.0,Russia,Russia,1994
5363,6,DF,Vladislav Ternavski,1969-05-02,2,Spartak Moscow,25.0,Russia,Russia,1994
5364,7,MF,Andrei Piatnitski,1967-09-27,9,Spartak Moscow,26.0,Russia,Russia,1994
5365,8,MF,Dmitri Popov,1969-02-27,11,Racing Santander,25.0,Russia,Spain,1994
5366,9,FW,Oleg Salenko,1969-10-25,5,Logroñés,24.0,Russia,Spain,1994
5367,10,MF,Valeri Karpin,1969-02-02,10,Spartak Moscow,25.0,Russia,Russia,1994
5368,11,FW,Vladimir Beschastnykh,1974-04-01,6,Spartak Moscow,20.0,Russia,Russia,1994
5369,12,DF,Omari Tetradze,1969-10-13,9,Dynamo Moscow,24.0,Russia,Russia,1994
5370,13,FW,Aleksandr Borodyuk,1962-11-30,13,SC Freiburg,31.0,Russia,Germany,1994
5371,14,FW,Igor Korneev,1967-09-04,13,Espanyol,26.0,Russia,Spain,1994
5372,15,FW,Dmitri Radchenko,1970-12-02,14,Racing Santander,23.0,Russia,Spain,1994
5373,16,GK,Dmitri Kharine (c),1968-08-16,22,Chelsea,25.0,Russia,England,1994
5374,17,MF,Ilia Tsymbalar,1969-02-17,2,Spartak Moscow,25.0,Russia,Russia,1994
5375,18,DF,Viktor Onopko,1969-10-14,21,Spartak Moscow,24.0,Russia,Russia,1994
5376,19,MF,Aleksandr Mostovoi,1968-08-22,20,Caen,25.0,Russia,France,1994
5377,20,MF,Igor Lediakhov,1968-05-22,15,Spartak Moscow,26.0,Russia,Russia,1994
5378,21,DF,Dmitri Khlestov,1971-01-21,12,Spartak Moscow,23.0,Russia,Russia,1994
5379,22,FW,Sergei Yuran,1969-06-11,26,Benfica,25.0,Russia,Portugal,1994
5380,1,GK,Thomas Ravelli,1959-08-13,110,IFK Göteborg !IFK Göteborg,34.0,Sweden,Sweden,1994
5381,2,DF,Roland Nilsson,1963-11-27,62,Sheffield Wednesday !Sheffield Wednesday,30.0,Sweden,England,1994
5382,3,DF,Patrik Andersson,1971-08-18,23,Borussia Mönchengladbach,22.0,Sweden,Germany,1994
5383,4,DF,Joachim Björklund,1971-03-15,22,IFK Göteborg !IFK Göteborg,23.0,Sweden,Sweden,1994
5384,5,DF,Roger Ljung,1966-01-08,46,Galatasaray !Galatasaray,28.0,Sweden,Turkey,1994
5385,6,MF,Stefan Schwarz,1969-04-18,29,Benfica !Benfica,25.0,Sweden,Portugal,1994
5386,7,FW,Henrik Larsson,1971-09-20,7,Feyenoord !Feyenoord,22.0,Sweden,Netherlands,1994
5387,8,MF,Klas Ingesson,1968-08-20,42,PSV !PSV,25.0,Sweden,Netherlands,1994
5388,9,MF,Jonas Thern (c),1967-03-20,47,Napoli !Napoli,27.0,Sweden,Italy,1994
5389,10,FW,Martin Dahlin,1968-04-16,29,Borussia Mönchengladbach,26.0,Sweden,Germany,1994
5390,11,FW,Tomas Brolin,1969-11-29,31,Parma !Parma,24.0,Sweden,Italy,1994
5391,12,GK,Lars Eriksson,1965-09-21,14,IFK Norrköping !IFK Norrköping,28.0,Sweden,Sweden,1994
5392,13,DF,Mikael Nilsson,1968-09-28,12,IFK Göteborg !IFK Göteborg,25.0,Sweden,Sweden,1994
5393,14,DF,Pontus Kåmark,1969-04-05,12,IFK Göteborg !IFK Göteborg,25.0,Sweden,Sweden,1994
